hparams_seed,algorithm,test_env,val_env,trial,seed
20,ERMMerged,all,train,0,1555570936
20,ERMMerged,all,train,1,383259255
20,ERMMerged,all,train,2,2007659022
20,ERMMerged,all,train,3,636861558
20,ERMMerged,all,train,4,318666538
20,ERMMerged,all,train,5,469335664
20,ERMMerged,all,train,6,1414408952
20,ERMMerged,all,train,7,1817761346
20,ERMMerged,all,train,8,1547372007
20,ERMMerged,all,train,9,1682126981
20,ERMID,miiv,train,0,856533736
20,ERMID,miiv,train,1,2117685648
20,ERMID,miiv,train,2,1257139177
20,ERMID,miiv,train,3,444223166
20,ERMID,miiv,train,4,21534696
20,ERMID,miiv,train,5,953893296
20,ERMID,miiv,train,6,936219025
20,ERMID,miiv,train,7,1351159617
20,ERMID,miiv,train,8,1590603508
20,ERMID,miiv,train,9,790224637
20,ERM,miiv,train,0,33179021
20,ERM,miiv,train,1,1905688641
20,ERM,miiv,train,2,276852187
20,ERM,miiv,train,3,579459433
20,ERM,miiv,train,4,1878555311
20,ERM,miiv,train,5,1383239863
20,ERM,miiv,train,6,1721233698
20,ERM,miiv,train,7,507918395
20,ERM,miiv,train,8,2005190154
20,ERM,miiv,train,9,1434079551
26,ERMID,eicu,train,0,1883031257
26,ERMID,eicu,train,1,115664599
26,ERMID,eicu,train,2,1713588389
26,ERMID,eicu,train,3,82156359
26,ERMID,eicu,train,4,155585752
26,ERMID,eicu,train,5,1776183609
26,ERMID,eicu,train,6,775554803
26,ERMID,eicu,train,7,740779814
26,ERMID,eicu,train,8,1160179790
26,ERMID,eicu,train,9,1509772603
20,ERM,eicu,train,0,33179021
20,ERM,eicu,train,1,1905688641
20,ERM,eicu,train,2,276852187
20,ERM,eicu,train,3,579459433
20,ERM,eicu,train,4,1878555311
20,ERM,eicu,train,5,1383239863
20,ERM,eicu,train,6,1721233698
20,ERM,eicu,train,7,507918395
20,ERM,eicu,train,8,2005190154
20,ERM,eicu,train,9,1434079551
12,ERMID,hirid,train,0,423592227
12,ERMID,hirid,train,1,332124566
12,ERMID,hirid,train,2,389520458
12,ERMID,hirid,train,3,168451804
12,ERMID,hirid,train,4,2065828998
12,ERMID,hirid,train,5,773021757
12,ERMID,hirid,train,6,105652213
12,ERMID,hirid,train,7,1740959688
12,ERMID,hirid,train,8,103694360
12,ERMID,hirid,train,9,548969012
20,ERM,hirid,train,0,33179021
20,ERM,hirid,train,1,1905688641
20,ERM,hirid,train,2,276852187
20,ERM,hirid,train,3,579459433
20,ERM,hirid,train,4,1878555311
20,ERM,hirid,train,5,1383239863
20,ERM,hirid,train,6,1721233698
20,ERM,hirid,train,7,507918395
20,ERM,hirid,train,8,2005190154
20,ERM,hirid,train,9,1434079551
12,ERMID,aumc,train,0,423592227
12,ERMID,aumc,train,1,332124566
12,ERMID,aumc,train,2,389520458
12,ERMID,aumc,train,3,168451804
12,ERMID,aumc,train,4,2065828998
12,ERMID,aumc,train,5,773021757
12,ERMID,aumc,train,6,105652213
12,ERMID,aumc,train,7,1740959688
12,ERMID,aumc,train,8,103694360
12,ERMID,aumc,train,9,548969012
20,ERM,aumc,train,0,33179021
20,ERM,aumc,train,1,1905688641
20,ERM,aumc,train,2,276852187
20,ERM,aumc,train,3,579459433
20,ERM,aumc,train,4,1878555311
20,ERM,aumc,train,5,1383239863
20,ERM,aumc,train,6,1721233698
20,ERM,aumc,train,7,507918395
20,ERM,aumc,train,8,2005190154
20,ERM,aumc,train,9,1434079551
